date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-03-31,32.46,33.25,32.63,31.85,32883.34,-0.15,-0.46,34.774,35.519,35.283,38205.03,49904.71,45113.13,5.42
2017-03-30,35.4,35.4,32.78,32.57,56852.86,-2.72,-7.66,35.548,35.756,35.353,44493.02,51322.88,44670.74,9.36
2017-03-29,36.4,36.56,35.5,35.48,32646.24,-1.07,-2.93,36.462,36.015,35.404,53156.63,49699.25,43284.69,5.38
2017-03-28,36.24,36.58,36.57,35.91,30764.48,0.18,0.49,36.596,35.944,35.349,60059.79,49326.57,43646.75,5.07
2017-03-27,36.4,36.78,36.39,35.82,37878.24,-0.11,-0.3,36.412,35.821,35.229,61405.87,51069.6,45011.33,6.24
2017-03-24,37.05,37.48,36.5,36.45,64323.3,-0.85,-2.28,36.264,35.648,35.202,61604.38,49917.64,45371.72,10.59
2017-03-23,36.0,37.75,37.35,35.9,100170.87,1.18,3.26,35.964,35.468,35.217,58152.74,45357.72,44566.86,16.5
2017-03-22,35.46,36.53,36.17,35.03,67162.06,0.52,1.46,35.568,35.195,35.137,46241.88,38052.16,40950.91,11.06
2017-03-21,35.45,35.87,35.65,35.24,37494.88,0.0,0.0,35.292,35.103,35.112,38593.34,35722.92,39653.25,6.18
2017-03-20,34.86,35.73,35.65,34.36,38870.8,0.65,1.86,35.23,35.133,35.084,40733.33,40546.62,39303.7,6.4
2017-03-17,35.21,35.9,35.0,34.96,47065.08,-0.37,-1.05,35.032,35.046,35.006,38230.9,40321.54,39080.56,7.75
2017-03-16,34.79,35.5,35.37,34.73,40616.58,0.58,1.67,34.972,34.95,34.98,32562.7,38018.6,38091.91,6.69
2017-03-15,35.08,35.14,34.79,34.51,28919.38,-0.55,-1.56,34.822,34.793,34.987,29862.44,36870.12,37214.78,4.76
2017-03-14,34.69,35.5,35.34,34.55,48194.8,0.68,1.96,34.914,34.753,35.023,32852.49,37966.92,37525.99,7.94
2017-03-13,34.75,34.87,34.66,34.11,26358.67,-0.04,-0.12,35.036,34.637,35.073,40359.9,38953.07,36898.99,4.34
2017-03-10,34.5,34.88,34.7,34.5,18724.08,0.08,0.23,35.06,34.756,35.194,42412.18,40825.79,37938.5,3.08
2017-03-09,35.1,35.14,34.62,34.5,27115.29,-0.63,-1.79,34.928,34.966,35.307,43474.51,43775.99,41442.6,4.47
2017-03-08,35.42,35.65,35.25,34.8,43869.62,-0.7,-1.95,34.764,35.078,35.423,43877.79,43849.65,42237.1,7.23
2017-03-07,34.77,36.88,35.95,34.52,85731.85,1.17,3.36,34.592,35.12,35.477,43081.35,43583.58,42013.85,14.12
2017-03-06,33.91,34.83,34.78,33.68,36620.08,0.74,2.17,34.238,35.034,35.493,37546.24,38060.79,40955.9,6.03
2017-03-03,33.8,34.4,34.04,33.43,24035.69,0.24,0.71,34.452,34.965,35.502,39239.4,37839.59,40298.84,3.96
2017-03-02,34.39,34.4,33.8,33.77,29131.71,-0.59,-1.72,35.004,35.01,35.519,44077.48,38165.22,39817.36,4.8
2017-03-01,34.17,34.69,34.39,33.81,39887.44,0.21,0.61,35.392,35.18,35.566,43821.52,37559.45,38361.27,6.57
2017-02-28,34.6,34.6,34.18,33.69,58056.26,-1.67,-4.66,35.648,35.292,35.583,44085.8,37085.06,37237.75,9.56
2017-02-27,36.89,37.19,35.85,35.7,45085.9,-0.95,-2.58,35.83,35.509,35.621,38575.35,34844.9,35879.74,7.43
2017-02-24,35.78,36.8,36.8,35.59,48226.1,1.06,2.97,35.478,35.632,35.536,36439.77,35051.21,34683.6,7.94
2017-02-23,35.32,35.9,35.74,35.32,27851.88,0.07,0.2,35.016,35.647,35.436,32252.96,39109.22,33511.31,4.59
2017-02-22,35.54,36.5,35.67,35.25,41208.85,0.58,1.65,34.968,35.767,35.363,31297.38,40624.54,33767.39,6.79
2017-02-21,34.1,35.2,35.09,34.02,30504.0,1.0,2.93,34.936,35.834,35.259,30084.32,40444.13,33202.36,5.02
2017-02-20,34.52,34.96,34.09,33.18,34408.03,-0.4,-1.16,35.188,35.952,35.183,31114.46,43851.01,32970.84,5.67
2017-02-17,35.53,35.79,34.49,34.36,27292.04,-1.01,-2.85,35.786,36.039,35.18,33662.64,42758.1,33323.65,4.49
2017-02-16,35.32,35.86,35.5,35.22,23073.96,-0.01,-0.03,36.278,36.028,35.113,45965.47,41469.5,34724.88,3.8
2017-02-15,36.6,36.69,35.51,35.11,35143.56,-0.84,-2.31,36.566,35.951,35.143,49951.7,39163.1,36263.05,5.79
2017-02-14,37.06,37.08,36.35,36.28,35654.71,-0.73,-1.97,36.732,35.873,35.316,50803.93,37390.44,38430.95,5.87
2017-02-13,36.05,37.57,37.08,36.03,47148.94,0.13,0.35,36.716,35.733,35.481,56587.56,36914.58,40233.08,7.77
2017-02-10,36.95,39.5,36.95,36.93,88806.19,0.01,0.03,36.292,35.44,35.558,51853.56,34316.0,39606.54,14.63
2017-02-09,36.01,37.2,36.94,36.01,43005.1,0.6,1.65,35.778,35.225,35.651,36973.52,27913.4,37161.83,7.08
2017-02-08,36.0,36.4,36.34,35.18,39404.73,0.07,0.19,35.336,34.958,35.705,28374.5,26910.25,36910.06,6.49
2017-02-07,35.06,37.76,36.27,34.66,64572.84,1.31,3.75,35.014,34.684,35.826,23976.94,25960.6,36943.1,10.63
2017-02-06,34.38,35.02,34.96,34.36,23478.95,0.58,1.69,34.75,34.414,35.974,17241.59,22090.68,36543.34,3.87
2017-02-03,34.89,34.89,34.38,34.11,14406.0,-0.35,-1.01,34.588,34.321,36.166,16778.44,23889.19,37733.25,2.37
2017-02-02,34.73,34.73,34.73,34.73,10.0,0.0,0.0,34.672,34.198,36.353,18853.28,27980.26,40659.61,0.0
2017-01-26,34.95,35.08,34.73,34.61,17416.9,-0.22,-0.63,34.58,34.334,36.657,25446.0,33363.01,42110.93,2.87
2017-01-25,34.31,35.14,34.95,34.06,30896.1,0.8,2.34,34.354,34.758,36.971,27944.25,39471.46,42989.24,5.09
2017-01-24,34.79,34.79,34.15,34.02,21163.2,-0.65,-1.87,34.078,35.229,37.268,26939.77,43551.59,43006.37,3.49
2017-01-23,34.11,34.84,34.8,34.0,24780.21,0.53,1.55,34.054,35.676,37.632,30999.94,44897.07,43685.63,4.08
2017-01-20,33.98,34.88,34.27,33.7,32973.57,0.67,1.99,33.724,36.077,37.922,37107.23,46410.26,45233.06,5.43
2017-01-19,33.14,34.37,33.6,32.86,29908.19,0.03,0.09,34.088,36.451,38.328,41280.02,46909.86,45930.94,4.93
2017-01-18,33.85,34.18,33.57,33.3,25873.67,-0.46,-1.35,35.162,36.968,38.8,50998.66,47925.61,48270.02,4.26
2017-01-17,33.25,34.22,34.03,31.85,41464.08,0.88,2.65,36.38,37.534,39.311,60163.41,50995.99,50678.29,6.83
2017-01-16,36.09,36.5,33.15,32.48,55316.63,-2.94,-8.15,37.298,38.011,39.739,58794.2,51577.31,51992.1,9.11
2017-01-13,38.21,38.47,36.09,36.04,53837.52,-2.88,-7.39,38.43,38.508,40.33,55713.29,53338.97,55117.26,8.87
2017-01-12,39.67,40.55,38.97,38.5,78501.41,-0.69,-1.74,38.814,38.98,40.707,52539.71,50858.86,56313.39,12.93
2017-01-11,38.48,39.82,39.66,38.0,71697.42,1.04,2.69,38.774,39.184,40.903,44852.55,46507.02,56147.97,11.81
2017-01-10,38.82,39.25,38.62,38.56,34618.02,-0.19,-0.49,38.688,39.307,41.033,41828.57,42461.15,55446.1,5.7
2017-01-09,38.0,38.9,38.81,37.57,39912.06,0.8,2.1,38.724,39.588,41.153,44360.42,42474.2,57527.47,6.57
2017-01-06,38.67,38.99,38.01,38.01,37969.64,-0.76,-1.96,38.586,39.767,41.426,50964.66,44055.87,59859.77,6.25
2017-01-05,39.06,39.23,38.77,38.66,40065.63,-0.46,-1.17,39.146,40.204,41.711,49178.01,44952.02,61833.52,6.6
2017-01-04,39.0,39.23,39.23,37.87,56577.52,0.43,1.11,39.594,40.632,41.956,48161.49,48614.43,63432.05,9.32
2017-01-03,38.3,39.38,38.8,38.15,47277.24,0.68,1.78,39.926,41.088,42.144,43093.72,50360.59,63321.87,7.79
2016-12-30,40.82,41.19,38.12,37.81,72933.28,-2.69,-6.59,40.452,41.466,42.347,40587.97,52406.88,63175.37,12.01
2016-12-29,40.92,41.47,40.81,40.6,29036.4,-0.2,-0.49,40.948,42.152,42.561,37147.08,56895.54,63271.82,4.78
2016-12-28,40.52,41.77,41.01,40.52,34983.0,0.12,0.29,41.262,42.433,42.743,40726.02,61767.93,64510.1,5.76
2016-12-27,41.3,41.5,40.89,40.66,31238.67,-0.54,-1.3,41.67,42.621,42.967,49067.36,65788.91,65808.13,5.15
2016-12-26,40.16,41.47,41.43,40.03,34748.52,0.83,2.04,42.25,42.759,43.159,57627.45,68431.05,67713.22,5.72
