date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-03-31,36.38,36.4,35.1,34.77,15903.9,-1.39,-3.81,36.798,36.804,36.36,26907.37,23826.81,17099.86,4.68
2017-03-30,38.0,38.1,36.49,36.32,22550.4,-1.63,-4.28,37.232,36.944,36.342,31530.35,25079.71,16649.98,6.63
2017-03-29,37.1,38.56,38.12,36.95,43165.62,0.92,2.47,37.138,36.861,36.249,29566.81,23518.8,15821.09,12.7
2017-03-28,36.76,37.66,37.2,36.18,21264.64,0.12,0.32,36.814,36.596,36.098,23078.99,19659.89,14019.76,6.25
2017-03-27,36.98,39.0,37.08,36.74,31652.27,-0.19,-0.51,36.778,36.432,35.98,21790.27,18300.56,13236.06,9.31
2017-03-24,35.67,38.37,37.27,34.07,39018.81,1.25,3.47,36.81,36.324,35.889,20746.25,16017.36,12025.28,11.48
2017-03-23,36.25,36.75,36.02,35.7,12732.7,-0.48,-1.31,36.656,36.214,35.778,18629.07,12764.45,10350.68,3.74
2017-03-22,36.7,36.93,36.5,36.31,10726.55,-0.52,-1.41,36.584,36.201,35.731,17470.79,12155.37,9983.56,3.15
2017-03-21,37.15,37.18,37.02,36.55,14821.03,-0.22,-0.59,36.378,36.161,35.662,16240.79,11912.71,9739.29,4.36
2017-03-20,36.07,37.41,37.24,36.06,26432.16,0.74,2.03,36.086,36.095,35.551,14810.84,12247.8,9355.18,7.77
2017-03-17,35.67,37.5,36.5,35.5,28432.9,0.84,2.36,35.838,35.916,35.395,11288.48,10372.91,8323.23,8.36
2017-03-16,35.61,35.8,35.66,35.35,6941.3,0.19,0.54,35.772,35.739,35.27,6899.83,8220.25,7307.69,2.04
2017-03-15,35.55,35.66,35.47,35.25,4576.55,-0.09,-0.25,35.818,35.636,35.227,6839.95,8123.39,7411.19,1.35
2017-03-14,35.99,36.2,35.56,35.53,7671.3,-0.44,-1.22,35.944,35.599,35.228,7584.63,8379.63,7578.43,2.26
2017-03-13,36.18,36.46,36.0,35.7,8820.35,-0.17,-0.47,36.104,35.528,35.267,9684.75,8171.56,7546.18,2.59
2017-03-10,35.64,36.3,36.17,35.64,6489.65,0.28,0.78,35.994,35.453,35.294,9457.34,8033.2,7585.42,1.91
2017-03-09,36.02,36.02,35.89,35.51,6641.92,-0.21,-0.58,35.706,35.342,35.294,9540.68,7936.9,7696.9,1.95
2017-03-08,36.0,36.26,36.1,35.77,8299.93,-0.26,-0.71,35.454,35.261,35.332,9406.83,7811.75,7885.3,2.44
2017-03-07,35.5,36.9,36.36,35.5,18171.89,0.91,2.57,35.254,35.162,35.346,9174.64,7565.86,7891.29,5.34
2017-03-06,34.7,35.48,35.45,34.7,7683.32,0.72,2.07,34.952,35.006,35.307,6658.37,6462.56,7329.04,2.26
2017-03-03,34.5,34.98,34.73,34.02,6906.32,0.1,0.29,34.912,34.874,35.327,6609.05,6273.55,7231.26,2.03
2017-03-02,35.25,35.25,34.63,34.63,5972.67,-0.47,-1.34,34.978,34.801,35.361,6333.13,6395.13,7248.34,1.76
2017-03-01,34.8,35.27,35.1,34.8,7139.0,0.25,0.72,35.068,34.817,35.454,6216.67,6699.0,7190.4,2.1
2017-02-28,35.11,35.27,34.85,34.8,5590.56,-0.4,-1.14,35.07,34.857,35.534,5957.09,6777.22,7252.7,1.64
2017-02-27,35.21,35.5,35.25,35.01,7436.7,0.19,0.54,35.06,35.006,35.621,6266.75,6920.8,7609.13,2.19
2017-02-24,35.15,35.33,35.06,35.0,5526.7,-0.02,-0.06,34.836,35.135,35.738,5938.05,7137.65,7951.1,1.63
2017-02-23,35.36,35.36,35.08,34.7,5390.37,-0.03,-0.09,34.624,35.245,35.895,6457.13,7456.91,8904.63,1.59
2017-02-22,35.4,35.4,35.11,34.8,5841.1,0.31,0.89,34.566,35.403,35.991,7181.33,7958.85,9679.82,1.72
2017-02-21,34.13,35.4,34.8,34.0,7138.88,0.67,1.96,34.644,35.53,36.037,7597.34,8216.72,10729.25,2.1
2017-02-20,33.99,34.38,34.13,33.45,5793.19,0.13,0.38,34.952,35.607,36.167,7574.84,8195.53,12225.53,1.7
2017-02-17,34.78,35.28,34.0,33.9,8122.12,-0.79,-2.27,35.434,35.779,36.237,8337.24,8188.97,12546.49,2.39
2017-02-16,35.09,35.58,34.79,34.6,9011.37,-0.71,-2.0,35.866,35.92,36.288,8456.68,8101.55,12522.42,2.65
2017-02-15,36.35,36.51,35.5,35.4,7921.16,-0.84,-2.31,36.24,36.09,36.335,8736.36,7681.8,12505.17,2.33
2017-02-14,36.63,36.63,36.34,36.05,7026.38,-0.2,-0.55,36.416,36.21,36.355,8836.09,7728.18,12613.49,2.07
2017-02-13,36.16,36.58,36.54,35.73,9605.18,0.38,1.05,36.262,36.236,36.327,8816.21,8297.46,12774.99,2.83
2017-02-10,36.35,36.86,36.16,36.12,8719.3,-0.5,-1.36,36.124,36.341,36.245,8040.69,8764.55,12623.32,2.56
2017-02-09,36.07,37.0,36.66,36.07,10409.8,0.28,0.77,35.974,36.544,36.187,7746.43,10352.36,12660.72,3.06
2017-02-08,35.58,36.55,36.38,35.24,8419.77,0.81,2.28,35.94,36.579,36.091,6627.23,11400.79,12771.25,2.48
