date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2017-03-31,4.12,4.17,4.17,4.12,53238.91,0.05,1.21,4.176,4.183,4.166,74889.85,72963.75,61189.17
2017-03-30,4.18,4.19,4.12,4.12,117738.21,-0.07,-1.67,4.192,4.18,4.162,75349.6,73484.48,61600.09
2017-03-29,4.21,4.21,4.19,4.17,41464.97,-0.01,-0.24,4.208,4.188,4.16,63144.88,65367.86,57674.97
2017-03-28,4.2,4.22,4.2,4.19,112329.05,0.0,0.0,4.204,4.186,4.155,67479.71,65017.81,57590.62
2017-03-27,4.23,4.25,4.2,4.2,49678.11,-0.05,-1.18,4.2,4.182,4.15,51804.54,56576.28,52971.28
2017-03-24,4.2,4.25,4.25,4.2,55537.65,0.05,1.19,4.19,4.179,4.144,71037.64,61048.56,52335.95
2017-03-23,4.18,4.2,4.2,4.16,56714.61,0.03,0.72,4.168,4.166,4.137,71619.37,61393.63,54473.24
2017-03-22,4.17,4.19,4.17,4.15,63139.11,-0.01,-0.24,4.168,4.156,4.133,67590.83,60120.96,53227.69
2017-03-21,4.14,4.18,4.18,4.14,33953.21,0.03,0.72,4.168,4.152,4.131,62555.91,56650.33,51590.82
2017-03-20,4.14,4.16,4.15,4.12,145843.64,0.01,0.24,4.164,4.149,4.128,61348.01,56512.18,52183.04
2017-03-17,4.2,4.21,4.14,4.14,58446.28,-0.06,-1.43,4.168,4.148,4.126,51059.48,49414.6,48289.71
2017-03-16,4.18,4.22,4.2,4.18,36571.92,0.03,0.72,4.164,4.143,4.121,51167.9,49715.7,49785.33
2017-03-15,4.16,4.17,4.17,4.14,37964.48,0.01,0.24,4.144,4.131,4.114,52651.09,49982.09,49313.91
2017-03-14,4.17,4.18,4.16,4.16,27913.74,-0.01,-0.24,4.136,4.124,4.106,50744.75,50163.43,48733.5
2017-03-13,4.12,4.17,4.17,4.11,94400.99,0.05,1.21,4.134,4.117,4.1,51676.34,49366.28,48669.42
2017-03-10,4.1,4.13,4.12,4.1,58988.36,0.02,0.49,4.128,4.108,4.094,47769.71,43623.34,46245.68
