date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-03-31,7.46,7.79,7.57,7.45,81193.91,0.09,1.2,7.82,7.996,8.176,91063.13,87277.94,109076.42,1.28
2017-03-30,7.76,7.81,7.48,7.38,162732.95,-0.39,-4.96,7.946,8.068,8.208,86264.74,91081.76,113108.21,2.57
2017-03-29,8.09,8.09,7.87,7.87,88401.0,-0.2,-2.48,8.096,8.173,8.253,76177.76,86256.32,116675.42,1.4
2017-03-28,8.1,8.15,8.07,8.01,51949.12,-0.04,-0.49,8.144,8.239,8.291,72002.06,92185.25,132577.01,0.82
2017-03-27,8.2,8.29,8.11,8.07,71038.66,-0.09,-1.1,8.158,8.288,8.319,75498.74,105408.9,157286.85,1.12
2017-03-24,8.2,8.27,8.2,8.11,57201.99,-0.03,-0.36,8.172,8.311,8.345,83492.75,107575.34,194777.5,0.9
2017-03-23,8.1,8.37,8.23,8.1,112298.02,0.12,1.48,8.19,8.316,8.372,95898.78,114144.03,222739.62,1.78
2017-03-22,8.05,8.22,8.11,8.02,67522.53,-0.03,-0.37,8.25,8.314,8.358,96334.88,113719.68,222194.1,1.07
2017-03-21,8.13,8.23,8.14,8.08,69432.52,-0.04,-0.49,8.334,8.34,8.356,112368.43,124521.54,227944.27,1.1
2017-03-20,8.3,8.32,8.18,8.04,111008.7,-0.11,-1.33,8.418,8.349,8.352,135319.06,128863.75,232225.76,1.75
2017-03-17,8.53,8.62,8.29,8.26,119232.11,-0.24,-2.81,8.45,8.356,8.348,131657.92,130874.89,234421.93,1.88
2017-03-16,8.58,8.67,8.53,8.45,114478.53,0.0,0.0,8.442,8.347,8.341,132389.29,135134.65,239928.54,1.81
2017-03-15,8.55,8.78,8.53,8.49,147690.3,-0.03,-0.35,8.378,8.332,8.314,131104.47,147094.53,242212.25,2.33
2017-03-14,8.34,8.65,8.56,8.29,184185.67,0.22,2.64,8.346,8.343,8.288,136674.64,172968.78,247772.22,2.91
2017-03-13,8.21,8.37,8.34,8.13,92703.01,0.09,1.09,8.28,8.349,8.251,122408.44,209164.8,246575.0,1.47
2017-03-10,8.15,8.32,8.25,8.05,122888.92,0.04,0.49,8.262,8.378,8.229,130091.86,281979.66,252254.92,1.94
2017-03-09,8.36,8.36,8.21,8.17,108054.46,-0.16,-1.91,8.252,8.428,8.204,137880.02,331335.21,252287.4,1.71
2017-03-08,8.22,8.49,8.37,8.17,175541.16,0.14,1.7,8.286,8.402,8.18,163084.58,330668.52,255269.04,2.78
2017-03-07,8.28,8.28,8.23,8.15,112854.66,-0.02,-0.24,8.34,8.372,8.141,209262.92,331367.0,253707.07,1.78
2017-03-06,8.21,8.32,8.25,8.14,131120.11,0.05,0.61,8.418,8.355,8.108,295921.16,335587.77,257242.64,2.07
2017-03-03,8.35,8.37,8.2,8.12,161829.69,-0.18,-2.15,8.494,8.339,8.05,433867.45,337968.96,253367.76,2.56
2017-03-02,8.58,8.62,8.38,8.35,234077.28,-0.26,-3.01,8.604,8.334,7.994,524790.41,344722.43,247503.32,3.7
2017-03-01,8.5,8.88,8.64,8.43,406432.84,0.02,0.23,8.518,8.296,7.933,498252.46,337329.97,238294.87,6.43
2017-02-28,8.52,8.99,8.62,8.43,546145.88,-0.01,-0.12,8.404,8.232,7.86,453471.09,322575.66,220139.0,8.63
2017-02-27,8.78,9.46,8.63,8.59,820851.56,-0.12,-1.37,8.292,8.153,7.784,375254.38,283985.21,195222.75,12.98
2017-02-24,7.96,8.75,8.75,7.96,616444.5,0.8,10.06,8.184,8.08,7.706,242070.47,222530.19,156947.88,9.75
2017-02-23,8.04,8.09,7.95,7.92,101387.52,-0.12,-1.49,8.064,7.979,7.616,164654.46,173239.59,129079.47,1.6
2017-02-22,8.02,8.15,8.07,7.87,182526.0,0.01,0.12,8.074,7.957,7.563,176407.48,179869.56,127477.5,2.89
2017-02-21,8.15,8.28,8.06,8.0,155062.3,-0.03,-0.37,8.06,7.91,7.511,191680.24,176047.14,121558.8,2.45
2017-02-20,8.13,8.24,8.09,7.96,154932.05,-0.06,-0.74,8.014,7.861,7.462,192716.04,178897.52,118496.12,2.45
2017-02-17,8.02,8.3,8.15,7.92,229364.41,0.15,1.88,7.976,7.761,7.402,202989.91,168766.55,122097.83,3.63
2017-02-16,7.92,8.15,8.0,7.9,160152.62,0.0,0.0,7.894,7.653,7.37,181824.72,150284.21,117380.77,2.53
2017-02-15,7.82,8.23,8.0,7.73,258889.81,0.17,2.17,7.84,7.569,7.347,183331.65,139259.78,115877.32,4.09
2017-02-14,7.85,7.97,7.83,7.68,160241.31,-0.07,-0.89,7.76,7.487,7.33,160414.05,117702.34,109944.17,2.53
2017-02-13,7.74,8.18,7.9,7.73,206301.38,0.16,2.07,7.708,7.414,7.33,165079.0,106460.29,110005.05,3.26
2017-02-10,7.73,7.88,7.74,7.65,123538.46,0.01,0.13,7.546,7.331,7.337,134543.19,91365.56,108505.05,1.95
2017-02-09,7.56,7.93,7.73,7.52,167687.27,0.13,1.71,7.412,7.253,7.359,118743.7,84919.35,120204.98,2.65
2017-02-08,7.47,7.73,7.6,7.44,144301.81,0.03,0.4,7.298,7.169,7.365,95187.91,75085.44,120742.33,2.28
2017-02-07,7.09,7.8,7.57,7.06,183566.08,0.48,6.77,7.214,7.111,7.377,74990.64,67070.46,123971.95,2.9
2017-02-06,7.06,7.13,7.09,7.0,53622.34,0.02,0.28,7.12,7.062,7.384,47841.57,58094.73,125211.76,0.85
2017-02-03,7.17,7.18,7.07,6.99,44541.0,-0.09,-1.26,7.116,7.043,7.401,48187.94,75429.12,129300.08,0.7
2017-01-26,7.2,7.22,7.16,7.07,49908.32,-0.02,-0.28,7.094,7.087,7.411,51095.0,84477.33,130926.13,0.79
2017-01-25,7.1,7.19,7.18,7.07,43315.46,0.08,1.13,7.04,7.125,7.423,54982.98,92494.87,133399.69,0.68
2017-01-24,7.07,7.17,7.1,7.05,47820.75,0.03,0.42,7.008,7.173,7.439,59150.29,102186.0,136866.42,0.76
2017-01-23,6.94,7.16,7.07,6.9,55354.16,0.11,1.58,7.004,7.245,7.451,68347.88,113549.82,139361.15,0.88
2017-01-20,6.82,7.01,6.96,6.77,59076.31,0.07,1.02,6.97,7.343,7.459,102670.3,125644.53,142879.15,0.93
