date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-03-31,68.5,70.19,69.04,67.96,3637.43,0.18,0.26,70.28,71.651,72.056,4463.86,4693.01,5161.77,1.62
2017-03-30,69.66,69.9,68.86,67.1,6072.57,-0.83,-1.19,70.928,72.166,72.168,4357.95,5920.72,5245.23,2.71
2017-03-29,72.36,72.36,69.69,69.6,6905.9,-2.1,-2.92,71.578,72.609,72.343,4157.63,5925.58,5159.01,3.08
2017-03-28,72.32,72.32,71.79,71.18,2976.0,-0.23,-0.32,72.176,72.845,72.534,3872.65,5608.11,5037.6,1.33
2017-03-27,72.66,72.66,72.02,71.65,2727.39,-0.26,-0.36,72.568,72.89,72.624,4316.74,5755.23,5120.69,1.22
2017-03-24,72.1,72.8,72.28,71.58,3107.87,0.17,0.24,73.022,72.904,72.681,4922.15,5924.89,5284.95,1.39
2017-03-23,72.6,73.38,72.11,71.18,5071.0,-0.57,-0.78,73.404,72.85,72.71,7483.49,6030.94,5320.81,2.26
2017-03-22,73.38,73.67,72.68,72.1,5481.0,-1.07,-1.45,73.64,72.744,72.754,7693.52,5997.25,5368.22,2.45
2017-03-21,74.29,74.69,73.75,73.5,5196.44,-0.54,-0.73,73.514,72.707,72.809,7343.57,5835.15,5463.33,2.32
2017-03-20,74.6,74.74,74.29,73.46,5754.46,0.1,0.14,73.212,72.63,72.773,7193.72,5729.42,5533.74,2.57
2017-03-17,73.4,76.09,74.19,73.38,15914.55,0.9,1.23,72.786,72.46,72.649,6927.63,5630.54,5448.74,7.1
2017-03-16,72.37,73.37,73.29,72.11,6121.17,1.24,1.72,72.296,72.17,72.492,4578.39,4569.75,5022.51,2.73
2017-03-15,72.01,72.8,72.05,71.6,3731.21,-0.19,-0.26,71.848,72.078,72.508,4300.97,4392.43,4953.3,1.67
2017-03-14,72.16,72.98,72.24,72.0,4447.22,0.08,0.11,71.9,72.223,72.574,4326.73,4467.08,5229.98,1.99
2017-03-13,71.7,72.3,72.16,70.53,4424.01,0.42,0.58,72.048,72.359,72.732,4265.11,4486.15,5575.9,1.98
2017-03-10,71.05,72.39,71.74,71.05,4168.35,0.69,0.97,72.134,72.458,72.881,4333.45,4645.01,6157.61,1.86
2017-03-09,72.28,72.28,71.05,70.98,4734.08,-1.26,-1.74,72.044,72.57,72.811,4561.11,4610.68,6188.94,2.11
2017-03-08,73.01,73.45,72.31,72.0,3860.0,-0.67,-0.92,72.308,72.764,72.791,4483.9,4739.18,6248.64,1.72
2017-03-07,72.61,73.88,72.98,72.61,4139.12,0.39,0.54,72.546,72.91,72.706,4607.43,5091.52,6442.73,1.85
2017-03-06,71.55,72.85,72.59,71.01,4765.68,1.3,1.82,72.67,72.917,72.511,4707.19,5338.06,6515.72,2.13
2017-03-03,72.37,72.78,71.29,70.6,5306.68,-1.08,-1.49,72.782,72.837,72.383,4956.57,5266.94,6498.57,2.37
2017-03-02,73.25,74.0,72.37,72.32,4348.0,-1.13,-1.54,73.096,72.815,72.303,4660.24,5475.27,6414.37,1.94
2017-03-01,73.6,73.95,73.5,73.19,4477.69,-0.1,-0.14,73.22,72.939,72.2,4994.47,5514.16,6388.4,2.0
2017-02-28,73.15,73.68,73.6,72.85,4637.88,0.45,0.61,73.274,72.925,72.029,5575.6,5992.87,6424.13,2.07
2017-02-27,72.69,74.45,73.15,72.69,6012.62,0.29,0.4,73.164,73.104,71.843,5968.93,6665.65,6433.33,2.68
2017-02-24,72.9,73.87,72.86,72.68,3825.0,-0.13,-0.18,72.892,73.304,71.696,5577.3,7670.21,6436.85,1.71
2017-02-23,73.78,74.5,72.99,72.01,6019.16,-0.78,-1.06,72.534,73.052,71.553,6290.3,7767.21,6698.91,2.69
2017-02-22,73.1,75.01,73.77,73.1,7383.36,0.72,0.99,72.658,72.818,71.399,6033.86,7758.1,6983.82,3.3
2017-02-21,71.84,73.92,73.05,71.28,6604.5,1.26,1.75,72.576,72.501,71.113,6410.13,7793.93,7617.03,2.95
2017-02-20,71.01,71.89,71.79,70.49,4054.5,0.72,1.01,73.044,72.105,71.072,7362.37,7693.38,8632.9,1.81
2017-02-17,73.1,73.53,71.07,70.62,7390.0,-2.54,-3.45,73.716,71.93,71.496,9763.12,7730.19,9558.21,3.3
2017-02-16,73.47,74.64,73.61,73.04,4736.92,0.25,0.34,73.57,71.792,72.006,9244.12,7353.47,10265.05,2.11
2017-02-15,75.4,75.4,73.36,73.3,9264.73,-2.03,-2.69,72.978,71.462,72.537,9482.34,7262.64,11737.81,4.14
2017-02-14,74.6,75.95,75.39,73.3,11365.71,0.24,0.32,72.426,71.133,72.95,9177.73,6855.39,12478.31,5.07
2017-02-13,70.5,76.6,75.15,70.5,16058.26,4.81,6.84,71.166,70.582,73.23,8024.39,6201.02,13194.16,7.17
2017-02-10,70.38,71.0,70.34,70.27,4795.0,-0.31,-0.44,70.144,70.088,73.512,5697.26,5203.5,13988.79,2.14
2017-02-09,70.07,70.96,70.65,70.05,5928.02,0.05,0.07,70.014,70.054,73.783,5462.82,5630.6,15140.48,2.65
2017-02-08,69.15,70.68,70.6,69.15,7741.68,1.51,2.19,69.946,69.98,74.135,5042.94,6209.55,16789.0,3.46
2017-02-07,70.04,70.1,69.09,68.69,5599.0,-0.95,-1.36,69.84,69.725,74.518,4533.05,7440.12,17921.31,2.5
2017-02-06,69.68,70.32,70.04,69.5,4422.62,0.35,0.5,69.998,70.039,74.622,4377.65,9572.42,18093.25,1.97
2017-02-03,70.76,70.76,69.69,68.15,3622.76,-0.62,-0.88,70.032,71.061,74.518,4709.73,11386.23,18063.37,1.62
2017-01-26,70.07,70.45,70.31,69.52,3828.65,0.24,0.34,70.094,72.221,74.447,5798.38,13176.63,18134.74,1.71
2017-01-25,69.94,70.49,70.07,69.85,5192.21,0.19,0.27,70.014,73.612,74.371,7376.15,16212.98,18191.72,2.32
