date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-03-31,36.5,37.38,36.69,36.4,14370.47,0.24,0.66,37.17,36.893,36.487,13651.34,18608.7,17424.48,1.7
2017-03-30,37.06,37.06,36.45,36.38,11875.47,-0.61,-1.65,37.398,36.865,36.396,20514.79,19213.72,17453.77,1.41
2017-03-29,37.89,37.99,37.06,37.0,10137.43,-0.87,-2.29,37.408,36.882,36.284,23214.08,19623.54,17297.09,1.2
2017-03-28,37.61,38.18,37.93,37.3,14171.72,0.21,0.56,37.242,36.839,36.163,24886.2,19646.05,17365.62,1.68
2017-03-27,37.77,38.18,37.72,37.54,17701.63,-0.11,-0.29,36.89,36.731,36.009,23994.17,21078.96,17021.55,2.1
2017-03-24,36.49,38.28,37.83,36.4,48687.7,1.33,3.64,36.616,36.558,35.869,23566.06,20883.94,17120.41,5.77
2017-03-23,36.09,36.68,36.5,36.06,25371.9,0.27,0.74,36.332,36.371,35.759,17912.65,18232.65,15630.22,3.01
2017-03-22,36.0,36.37,36.23,35.3,18498.07,0.06,0.17,36.356,36.217,35.675,16033.01,16404.16,15467.68,2.19
2017-03-21,36.4,36.5,36.17,35.97,9711.56,-0.18,-0.49,36.436,36.127,35.604,14405.9,15467.34,16880.89,1.15
2017-03-20,36.3,36.94,36.35,35.97,15561.09,-0.06,-0.17,36.572,36.088,35.467,18163.75,15508.78,17559.2,1.84
2017-03-17,36.75,37.1,36.41,36.4,20420.63,-0.21,-0.57,36.5,36.08,35.3,18201.81,16240.26,17768.28,2.42
2017-03-16,36.8,36.8,36.62,36.28,15973.68,-0.01,-0.03,36.41,35.926,35.099,18552.64,15693.83,17500.19,1.89
2017-03-15,36.64,36.91,36.63,36.25,10362.52,-0.22,-0.6,36.078,35.685,34.882,16775.31,14970.63,17433.3,1.23
2017-03-14,35.84,37.01,36.85,35.84,28500.84,0.86,2.39,35.818,35.487,34.672,16528.79,15085.18,17749.7,3.38
2017-03-13,35.88,36.32,35.99,35.52,15751.38,0.03,0.08,35.604,35.287,34.451,12853.8,12964.14,17523.4,1.87
2017-03-10,34.82,36.0,35.96,34.82,22174.8,1.0,2.86,35.66,35.179,34.283,14278.72,13356.89,17717.2,2.63
2017-03-09,35.49,35.49,34.96,34.9,7086.99,-0.37,-1.05,35.442,35.147,34.122,12835.01,13027.79,17157.96,0.84
2017-03-08,35.76,36.0,35.33,35.29,9129.94,-0.45,-1.26,35.292,35.133,34.026,13165.96,14531.21,17455.99,1.08
2017-03-07,36.1,36.16,35.78,35.7,10125.89,-0.49,-1.35,35.156,35.081,33.914,13641.58,18294.44,17478.08,1.2
2017-03-06,34.8,36.6,36.27,34.67,22875.96,1.4,4.01,34.97,34.845,33.761,13074.49,19609.62,17506.09,2.71
2017-03-03,34.05,35.09,34.87,33.88,14956.28,0.66,1.93,34.698,34.519,33.614,12435.06,19296.29,17054.75,1.77
2017-03-02,34.66,34.66,34.21,34.0,8741.74,-0.44,-1.27,34.852,34.271,33.549,13220.57,19306.55,16484.71,1.04
2017-03-01,34.81,34.98,34.65,34.26,11508.02,-0.2,-0.57,34.974,34.079,33.517,15896.47,19895.96,16381.57,1.36
2017-02-28,34.85,35.11,34.85,34.56,7290.43,-0.06,-0.17,35.006,33.856,33.435,22947.3,20414.22,16141.48,0.86
2017-02-27,35.5,36.05,34.91,34.78,19678.83,-0.73,-2.05,34.72,33.614,33.344,26144.76,22082.67,16058.67,2.33
2017-02-24,34.7,35.8,35.64,34.54,18883.81,0.82,2.35,34.34,33.386,33.281,26157.51,22077.52,15245.48,2.24
2017-02-23,34.8,34.98,34.82,34.41,22121.24,0.01,0.03,33.69,33.096,33.173,25392.53,21288.12,14584.14,2.62
2017-02-22,33.41,35.12,34.81,33.31,46762.2,1.39,4.16,33.184,32.918,33.066,23895.46,20380.76,13938.44,5.54
2017-02-21,33.07,33.69,33.42,32.82,23277.71,0.41,1.24,32.706,32.747,33.011,17881.14,16661.72,12572.83,2.76
2017-02-20,32.42,33.09,33.01,32.35,19742.61,0.62,1.91,32.508,32.676,32.964,18020.57,15402.56,12393.31,2.34
2017-02-17,32.4,32.74,32.39,32.2,15058.9,0.1,0.31,32.432,32.708,32.963,17997.52,14813.21,12359.14,1.78
2017-02-16,32.41,32.61,32.29,32.19,14635.88,-0.13,-0.4,32.502,32.827,33.078,17183.71,13662.87,12486.34,1.73
2017-02-15,32.43,32.71,32.42,32.28,16690.61,-0.01,-0.03,32.652,32.954,33.281,16866.06,12867.17,12023.52,1.98
2017-02-14,32.7,33.04,32.43,32.28,23974.87,-0.2,-0.61,32.788,33.014,33.475,15442.3,11868.73,11439.8,2.84
