date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-03-31,9.33,9.52,9.25,9.07,315629.12,-0.14,-1.49,9.592,9.398,8.953,646602.5,482882.32,338248.87,3.99
2017-03-30,9.65,9.74,9.39,9.32,427095.44,-0.42,-4.28,9.862,9.299,8.909,782050.03,460509.42,327184.09,5.4
2017-03-29,9.71,9.95,9.81,9.43,608451.81,0.02,0.2,9.912,9.185,8.855,698455.27,427462.22,309850.34,7.7
2017-03-28,9.88,10.2,9.79,9.7,810142.25,0.07,0.72,9.702,9.027,8.778,628641.56,385769.33,287334.93,10.25
2017-03-27,10.18,10.31,9.72,9.54,1071693.88,-0.88,-8.3,9.47,8.896,8.709,513091.79,320740.1,252345.84,13.56
2017-03-24,10.5,10.6,10.6,10.33,992866.75,0.96,9.96,9.204,8.764,8.653,319162.13,232620.5,210972.98,12.56
2017-03-23,9.64,9.64,9.64,9.64,9121.66,0.88,10.05,8.736,8.581,8.557,138968.81,157929.65,172051.75,0.12
2016-12-21,8.59,8.88,8.76,8.56,259383.28,0.13,1.51,8.458,8.498,8.503,156469.16,192329.32,187102.7,3.28
2016-12-20,8.51,8.65,8.63,8.46,232393.36,0.24,2.86,8.352,8.485,8.48,142897.09,186643.64,179561.88,2.94
2016-12-19,8.32,8.41,8.39,8.29,102045.6,0.13,1.57,8.322,8.484,8.466,128388.41,181204.68,173041.75,1.29
2016-12-16,8.2,8.44,8.26,8.2,91900.15,0.01,0.12,8.324,8.507,8.465,146078.87,193615.42,172927.35,1.16
2016-12-15,8.17,8.33,8.25,8.09,96623.42,0.02,0.24,8.426,8.519,8.463,176890.48,193858.76,171516.2,1.22
2016-12-14,8.45,8.51,8.23,8.23,191522.94,-0.25,-2.95,8.538,8.524,8.465,228189.48,192238.46,171106.95,2.42
2016-12-13,8.42,8.6,8.48,8.31,159849.94,0.08,0.95,8.618,8.528,8.472,230390.19,188900.54,169196.27,2.02
2016-12-12,8.8,8.81,8.4,8.31,190497.92,-0.37,-4.22,8.646,8.521,8.47,234020.95,183951.57,166181.21,2.41
2016-12-09,8.75,8.99,8.77,8.72,245958.2,-0.04,-0.45,8.69,8.541,8.469,241151.96,189325.47,162102.72,3.11
2016-12-08,8.62,8.94,8.81,8.61,353118.38,0.18,2.09,8.612,8.533,8.45,210827.04,186173.86,156066.39,4.47
2016-12-07,8.62,8.74,8.63,8.49,202526.52,0.01,0.12,8.51,8.507,8.429,156287.45,181876.09,152995.29,2.56
2016-12-06,8.6,8.8,8.62,8.56,178003.73,0.0,0.0,8.438,8.474,8.395,147410.88,172480.12,146871.37,2.25
2016-12-05,8.3,8.7,8.62,8.26,226152.95,0.24,2.86,8.396,8.447,8.367,133882.2,164878.82,142478.84,2.86
2016-12-02,8.28,8.39,8.38,8.25,94333.6,0.08,0.96,8.392,8.422,8.335,137498.98,152239.29,135508.2,1.19
2016-12-01,8.27,8.33,8.3,8.24,80420.46,0.03,0.36,8.454,8.407,8.315,161520.69,149173.63,134229.1,1.02
2016-11-30,8.4,8.4,8.27,8.22,158143.67,-0.14,-1.67,8.504,8.406,8.302,207464.72,149975.44,135654.1,2.0
2016-11-29,8.63,8.63,8.41,8.41,110360.31,-0.19,-2.21,8.51,8.415,8.291,197549.36,149492.0,132203.87,1.4
2016-11-28,8.63,8.83,8.6,8.44,244236.84,-0.09,-1.04,8.498,8.418,8.273,195875.43,148410.85,131252.18,3.09
2016-11-25,8.66,8.71,8.69,8.39,214442.16,0.14,1.64,8.452,8.397,8.245,166979.6,134879.97,123988.91,2.71
2016-11-24,8.33,8.62,8.55,8.3,310140.62,0.25,3.01,8.36,8.367,8.209,136826.58,125958.93,116418.14,3.92
2016-11-23,8.38,8.41,8.3,8.21,108566.87,-0.05,-0.6,8.308,8.35,8.179,92486.15,124114.49,103540.37,1.37
2016-11-22,8.38,8.46,8.35,8.29,101990.67,-0.02,-0.24,8.32,8.316,8.164,101434.64,121262.62,103882.08,1.29
2016-11-21,8.2,8.38,8.37,8.16,99757.66,0.14,1.7,8.338,8.286,8.142,100946.27,120078.87,103069.78,1.26
2016-11-18,8.29,8.33,8.23,8.22,63677.07,-0.06,-0.72,8.342,8.248,8.122,102780.34,118777.11,101163.49,0.81
2016-11-17,8.35,8.35,8.29,8.23,88438.48,-0.07,-0.84,8.374,8.222,8.108,115091.27,119284.56,102277.34,1.12
2016-11-16,8.49,8.65,8.36,8.35,153309.3,-0.08,-0.95,8.392,8.198,8.093,155742.83,121332.76,101678.83,1.94
2016-11-15,8.35,8.46,8.44,8.29,99548.83,0.05,0.6,8.312,8.166,8.07,141090.61,114915.74,98647.87,1.26
2016-11-14,8.4,8.49,8.39,8.3,108928.04,0.0,0.0,8.234,8.127,8.053,139211.48,114093.51,95481.24,1.38
2016-11-11,8.38,8.42,8.39,8.3,125231.72,0.01,0.12,8.154,8.093,8.039,134773.88,113097.85,92764.01,1.58
2016-11-10,7.98,8.55,8.38,7.98,291696.25,0.42,5.28,8.07,8.05,8.024,123477.85,106877.36,88774.77,3.69
2016-11-09,8.04,8.05,7.96,7.88,80048.22,-0.09,-1.12,8.004,8.008,8.012,86922.68,82966.25,78445.38,1.01
2016-11-08,8.03,8.05,8.05,7.98,90153.16,0.06,0.75,8.02,8.012,8.019,88740.87,86501.53,80022.49,1.14
2016-11-07,7.99,8.05,7.99,7.93,86740.04,0.02,0.25,8.02,7.997,8.009,88975.53,86060.7,77946.05,1.1
2016-11-04,8.06,8.07,7.97,7.94,68751.6,-0.08,-0.99,8.032,7.995,7.998,91421.82,83549.86,76409.21,0.87
2016-11-03,8.01,8.1,8.05,7.97,108920.39,0.01,0.12,8.03,7.993,7.983,90276.87,85270.12,76998.75,1.38
2016-11-02,8.03,8.09,8.04,7.98,89139.14,0.0,0.0,8.012,7.987,7.97,79009.82,82024.9,73694.04,1.13
2016-10-28,8.03,8.11,8.05,8.02,91326.49,0.0,0.0,8.004,7.974,7.956,84262.2,82380.0,72451.45,1.16
2016-10-27,7.93,8.07,8.05,7.93,98971.46,0.09,1.13,7.974,7.979,7.952,83145.86,76868.97,71088.82,1.25
2016-10-26,7.98,8.02,7.96,7.91,63026.89,0.0,0.0,7.958,7.984,7.945,75677.91,72430.18,68477.96,0.8
2016-10-25,8.0,8.02,7.96,7.92,52585.14,-0.04,-0.5,7.956,7.997,7.943,80263.36,70672.17,71114.68,0.67
2016-10-24,7.9,8.02,8.0,7.85,115401.02,0.1,1.27,7.962,8.015,7.93,85039.98,73924.51,71095.12,1.46
2016-10-21,7.92,7.98,7.9,7.86,85744.8,-0.07,-0.88,7.944,8.025,7.919,80497.8,73543.44,68388.1,1.08
2016-10-20,7.95,7.99,7.97,7.91,61631.69,0.02,0.25,7.984,8.021,7.91,70592.07,69831.39,67421.39,0.78
2016-10-19,7.99,8.03,7.95,7.9,85954.17,-0.04,-0.5,8.01,8.001,7.905,69182.44,69268.55,67785.11,1.09
2016-10-18,7.86,8.0,7.99,7.86,76468.24,0.08,1.01,8.038,7.972,7.9,61080.98,68727.37,70543.31,0.97
2016-10-17,8.11,8.11,7.91,7.81,92690.1,-0.19,-2.35,8.068,7.953,7.897,62809.03,65363.18,70979.86,1.17
2016-10-14,8.06,8.13,8.1,8.02,36216.16,0.0,0.0,8.106,7.937,7.901,66589.09,62522.91,70157.17,0.46
2016-10-13,8.12,8.16,8.1,8.02,54583.54,0.01,0.12,8.058,7.924,7.895,69070.71,65308.67,76010.01,0.69
2016-10-12,8.14,8.14,8.09,8.06,45446.84,-0.05,-0.61,7.992,7.905,7.893,69354.66,64525.75,78510.0,0.57
2016-10-11,8.13,8.16,8.14,8.07,85108.53,0.04,0.49,7.906,7.888,7.891,76373.77,71557.19,80326.11,1.08
2016-10-10,7.9,8.12,8.1,7.9,111590.36,0.24,3.05,7.838,7.844,7.889,67917.33,68265.73,83762.61,1.41
2016-09-30,7.75,7.89,7.86,7.72,48624.3,0.09,1.16,7.768,7.812,7.881,58456.73,63232.76,84176.21,0.62
2016-09-29,7.69,7.78,7.77,7.69,56003.27,0.11,1.44,7.79,7.799,7.889,61546.62,65011.39,85999.46,0.71
2016-09-28,7.8,7.82,7.66,7.62,80542.37,-0.14,-1.79,7.818,7.809,7.907,59696.85,66301.68,86792.44,1.02
2016-09-27,7.71,7.81,7.8,7.7,42826.34,0.05,0.65,7.87,7.827,7.928,66740.62,72359.25,91062.93,0.54
2016-09-26,7.93,7.97,7.75,7.73,64287.36,-0.22,-2.76,7.85,7.84,7.945,68614.13,76596.54,96408.11,0.81
2016-09-23,7.93,8.01,7.97,7.87,64073.77,0.06,0.76,7.856,7.864,7.975,68008.8,77791.44,97336.73,0.81
2016-09-22,7.9,7.96,7.91,7.9,46754.4,-0.01,-0.13,7.808,7.865,7.99,68476.16,86711.35,95808.41,0.59
2016-09-21,7.66,7.97,7.92,7.66,115761.22,0.22,2.86,7.8,7.881,8.005,72906.51,92494.25,96677.54,1.46
2016-09-20,7.78,7.78,7.7,7.68,52193.89,-0.08,-1.03,7.784,7.893,8.019,77977.88,89095.04,97200.84,0.66
2016-09-19,7.77,7.83,7.78,7.73,61260.71,0.05,0.65,7.83,7.934,8.056,84578.95,99259.48,98327.68,0.77
2016-09-14,7.8,7.85,7.73,7.68,66410.56,-0.14,-1.78,7.872,7.949,8.091,87574.07,105119.65,100393.4,0.84
2016-09-13,7.8,7.94,7.87,7.78,68906.16,0.03,0.38,7.922,7.979,8.137,104946.55,106987.54,100782.79,0.87
2016-09-12,7.76,7.88,7.84,7.61,141118.09,-0.09,-1.14,7.962,8.004,8.18,112081.98,107283.2,102245.3,1.78
