date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-03-31,0.67,0.68,0.66,0.66,7611.0,-0.01,-1.49,0.692,0.724,0.749,15269.08,11923.61,8430.85,0.19
2017-03-30,0.7,0.7,0.67,0.64,32529.8,-0.03,-4.29,0.708,0.734,0.755,15660.02,12018.07,8255.45,0.8
2017-03-29,0.71,0.71,0.7,0.7,11770.0,-0.01,-1.41,0.722,0.744,0.76,13764.86,9297.94,6784.96,0.29
2017-03-28,0.72,0.72,0.71,0.7,11110.1,-0.01,-1.39,0.734,0.75,0.764,12101.46,9633.11,6525.01,0.27
2017-03-27,0.74,0.74,0.72,0.71,13324.48,-0.02,-2.7,0.746,0.756,0.768,10389.04,8662.6,6107.35,0.33
2017-03-24,0.74,0.74,0.74,0.73,9565.74,0.0,0.0,0.756,0.761,0.771,8578.14,7486.85,5765.28,0.24
2017-03-23,0.75,0.76,0.74,0.7,23054.0,-0.02,-2.63,0.76,0.765,0.773,8376.12,6773.28,5451.09,0.57
2017-03-22,0.77,0.77,0.76,0.76,3453.0,-0.01,-1.3,0.766,0.769,0.775,4831.02,4985.51,4507.09,0.08
2017-03-21,0.77,0.77,0.77,0.76,2547.98,0.0,0.0,0.766,0.771,0.776,7164.76,4984.41,4517.93,0.06
2017-03-20,0.76,0.77,0.77,0.76,4270.0,0.01,1.32,0.766,0.772,0.776,6936.16,5064.3,4715.9,0.11
2017-03-17,0.77,0.77,0.76,0.75,8555.62,-0.01,-1.3,0.766,0.773,0.777,6395.56,4938.08,4722.5,0.21
2017-03-16,0.77,0.77,0.77,0.76,5328.5,0.01,1.32,0.77,0.775,0.778,5170.44,4492.82,4686.01,0.13
2017-03-15,0.77,0.77,0.76,0.76,15121.7,-0.01,-1.3,0.772,0.776,0.779,5140.0,4271.97,4772.24,0.37
2017-03-14,0.78,0.78,0.77,0.77,1405.0,0.0,0.0,0.776,0.778,0.78,2804.06,3416.9,4734.21,0.03
2017-03-13,0.77,0.78,0.77,0.77,1567.0,-0.01,-1.28,0.778,0.779,0.781,3192.44,3552.1,4824.15,0.04
2017-03-10,0.78,0.78,0.78,0.77,2430.0,0.0,0.0,0.78,0.78,0.781,3480.6,4043.7,4995.46,0.06
2017-03-09,0.78,0.78,0.78,0.77,5176.31,0.0,0.0,0.78,0.78,0.781,3815.2,4128.9,5126.35,0.13
2017-03-08,0.78,0.78,0.78,0.78,3442.0,0.0,0.0,0.78,0.78,0.781,3403.94,4028.67,5104.45,0.08
2017-03-07,0.78,0.78,0.78,0.78,3346.87,0.0,0.0,0.78,0.78,0.781,4029.74,4051.45,5149.86,0.08
2017-03-06,0.77,0.78,0.78,0.77,3007.82,0.0,0.0,0.78,0.78,0.781,3911.76,4367.5,5122.67,0.07
2017-03-03,0.78,0.78,0.78,0.77,4103.0,0.0,0.0,0.78,0.78,0.781,4606.8,4506.92,5139.09,0.1
2017-03-02,0.78,0.78,0.78,0.78,3120.0,0.0,0.0,0.78,0.78,0.78,4442.6,4879.2,5058.89,0.08
2017-03-01,0.78,0.78,0.78,0.77,6571.0,0.0,0.0,0.78,0.781,0.78,4653.41,5272.5,5083.84,0.16
2017-02-28,0.78,0.78,0.78,0.77,2757.0,0.0,0.0,0.78,0.782,0.78,4073.17,6051.52,4881.79,0.07
2017-02-27,0.78,0.78,0.78,0.78,6483.0,0.0,0.0,0.78,0.782,0.78,4823.24,6096.19,5207.05,0.16
2017-02-24,0.79,0.79,0.78,0.78,3282.02,0.0,0.0,0.78,0.782,0.78,4407.04,5947.21,5117.4,0.08
2017-02-23,0.79,0.79,0.78,0.78,4174.01,0.0,0.0,0.78,0.782,0.78,5315.8,6123.8,5140.45,0.1
2017-02-22,0.78,0.78,0.78,0.78,3669.82,0.0,0.0,0.782,0.782,0.78,5891.6,6180.22,5044.35,0.09
2017-02-21,0.78,0.79,0.78,0.77,6507.33,0.0,0.0,0.784,0.781,0.78,8029.88,6248.26,5099.76,0.16
2017-02-20,0.78,0.78,0.78,0.78,4402.0,0.0,0.0,0.784,0.781,0.78,7369.15,5877.84,5113.81,0.11
2017-02-17,0.79,0.79,0.78,0.78,7825.83,-0.01,-1.27,0.784,0.781,0.779,7487.39,5771.27,5885.36,0.19
2017-02-16,0.79,0.79,0.79,0.78,7053.0,0.0,0.0,0.784,0.78,0.78,6931.8,5238.59,5730.42,0.17
2017-02-15,0.78,0.79,0.79,0.78,14361.22,0.01,1.28,0.782,0.779,0.78,6468.85,4895.18,5670.07,0.35
2017-02-14,0.78,0.78,0.78,0.78,3203.71,0.0,0.0,0.778,0.778,0.78,4466.64,3712.06,5380.61,0.08
2017-02-13,0.78,0.78,0.78,0.78,4993.2,0.0,0.0,0.778,0.777,0.781,4386.52,4317.9,5684.38,0.12
2017-02-10,0.78,0.78,0.78,0.77,5047.87,0.0,0.0,0.778,0.777,0.782,4055.14,4287.58,5616.3,0.12
2017-02-09,0.77,0.78,0.78,0.77,4738.26,0.01,1.3,0.776,0.777,0.783,3545.37,4157.1,5724.61,0.12
2017-02-08,0.77,0.77,0.77,0.77,4350.16,-0.01,-1.28,0.776,0.777,0.784,3321.52,3908.47,5850.97,0.11
2017-02-07,0.78,0.78,0.78,0.77,2803.1,0.0,0.0,0.778,0.778,0.785,2957.48,3951.25,6133.44,0.07
2017-02-06,0.77,0.78,0.78,0.77,3336.33,0.01,1.3,0.776,0.778,0.786,4249.29,4349.78,6444.16,0.08
2017-02-03,0.77,0.78,0.77,0.77,2499.0,-0.01,-1.28,0.776,0.777,0.787,4520.02,5999.45,7648.69,0.06
2017-01-26,0.77,0.78,0.78,0.77,3619.0,0.0,0.0,0.778,0.779,0.788,4768.82,6222.26,7702.59,0.09
2017-01-25,0.77,0.78,0.78,0.77,2529.99,0.01,1.3,0.778,0.78,0.789,4495.42,6444.96,8062.69,0.06
2017-01-24,0.78,0.79,0.77,0.77,9262.12,-0.01,-1.28,0.778,0.781,0.789,4945.02,7049.16,8150.39,0.23
2017-01-23,0.78,0.79,0.78,0.78,4690.0,0.0,0.0,0.78,0.784,0.79,4450.28,7050.85,8009.54,0.12
2017-01-20,0.78,0.78,0.78,0.78,3743.0,0.0,0.0,0.778,0.786,0.791,7478.88,6945.02,8284.44,0.09
2017-01-19,0.78,0.78,0.78,0.77,2252.0,0.0,0.0,0.78,0.788,0.791,7675.7,7292.12,8603.15,0.06
2017-01-18,0.78,0.78,0.78,0.77,4778.0,0.0,0.0,0.782,0.79,0.792,8394.5,7793.47,8909.61,0.12
2017-01-17,0.77,0.78,0.78,0.77,6788.4,0.01,1.3,0.784,0.792,0.792,9153.3,8315.62,9551.28,0.17
2017-01-16,0.79,0.79,0.77,0.75,19833.0,-0.02,-2.53,0.788,0.794,0.793,9651.42,8538.53,10278.11,0.49
2017-01-13,0.79,0.79,0.79,0.78,4727.1,0.0,0.0,0.794,0.797,0.794,6411.16,9297.93,10211.96,0.12
2017-01-12,0.79,0.79,0.79,0.79,5846.0,0.0,0.0,0.796,0.797,0.794,6908.54,9182.92,10331.05,0.14
2017-01-11,0.8,0.8,0.79,0.79,8572.0,-0.01,-1.25,0.798,0.797,0.794,7192.44,9680.42,11160.05,0.21
2017-01-10,0.8,0.8,0.8,0.79,9279.0,0.0,0.0,0.8,0.797,0.794,7477.94,9251.63,11094.35,0.23
2017-01-09,0.8,0.8,0.8,0.79,3631.71,0.0,0.0,0.8,0.796,0.792,7425.64,8968.23,11268.68,0.09
2017-01-06,0.8,0.8,0.8,0.8,7214.0,0.0,0.0,0.8,0.795,0.791,12184.69,9623.86,11371.33,0.18
2017-01-05,0.8,0.8,0.8,0.8,7265.51,0.0,0.0,0.798,0.794,0.79,11457.29,9914.19,11253.93,0.18
2017-01-04,0.8,0.8,0.8,0.79,9999.5,0.0,0.0,0.796,0.793,0.789,12168.39,10025.74,11055.21,0.25
2017-01-03,0.8,0.8,0.8,0.8,9017.46,0.0,0.0,0.794,0.792,0.788,11025.31,10786.94,10728.38,0.22
2016-12-30,0.79,0.8,0.8,0.79,27426.99,0.01,1.27,0.792,0.792,0.787,10510.82,12017.7,10702.26,0.67
2016-12-29,0.79,0.79,0.79,0.79,3577.0,0.0,0.0,0.79,0.791,0.786,7063.02,11126.0,9597.96,0.09
2016-12-28,0.79,0.8,0.79,0.79,10821.0,0.0,0.0,0.79,0.791,0.786,8371.09,11479.18,9661.81,0.27
2016-12-27,0.79,0.79,0.79,0.79,4284.09,0.0,0.0,0.79,0.791,0.786,7883.09,12639.69,9445.16,0.11
2016-12-26,0.79,0.79,0.79,0.78,6445.01,0.0,0.0,0.79,0.79,0.786,10548.57,12937.07,9597.9,0.16
2016-12-23,0.79,0.79,0.79,0.79,10188.0,0.0,0.0,0.792,0.788,0.786,13524.58,13569.14,9476.95,0.25
