date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-03-31,14.57,14.66,14.45,14.41,33601.18,-0.13,-0.89,14.812,14.976,14.847,43362.45,60692.17,51902.59,0.8
2017-03-30,14.93,14.93,14.58,14.05,51617.23,-0.36,-2.41,14.942,15.039,14.862,47426.44,67882.44,52798.94,1.23
2017-03-29,15.06,15.09,14.94,14.91,38923.19,-0.13,-0.86,15.034,15.061,14.865,49001.0,67556.97,53630.18,0.93
2017-03-28,15.02,15.14,15.07,14.91,36897.4,0.05,0.33,15.07,15.035,14.835,53495.67,66724.36,53553.68,0.88
2017-03-27,15.06,15.17,15.02,15.01,55773.24,-0.08,-0.53,15.082,15.008,14.792,70665.64,65886.22,53053.31,1.33
2017-03-24,15.07,15.21,15.1,14.98,53921.15,0.06,0.4,15.14,14.986,14.756,78021.89,65285.67,52056.58,1.28
2017-03-23,15.13,15.3,15.04,14.94,59490.02,-0.08,-0.53,15.136,14.931,14.721,88338.44,61806.83,51834.23,1.42
2017-03-22,15.1,15.33,15.12,15.02,61396.54,-0.01,-0.07,15.088,14.879,14.669,86112.95,58546.03,51405.6,1.46
2017-03-21,15.52,15.6,15.13,15.09,122747.24,-0.18,-1.18,15.0,14.821,14.622,79953.05,55149.18,52470.69,2.92
2017-03-20,15.15,15.33,15.31,14.96,92554.52,0.23,1.52,14.934,14.782,14.582,61106.8,47023.14,47657.27,2.2
2017-03-17,14.75,15.26,15.08,14.75,105503.87,0.28,1.89,14.832,14.718,14.536,52549.45,43113.01,44479.29,2.51
2017-03-16,14.74,14.83,14.8,14.66,48362.58,0.12,0.82,14.726,14.684,14.497,35275.21,37715.44,41626.47,1.15
2017-03-15,14.82,14.83,14.68,14.62,30597.04,-0.12,-0.81,14.67,14.669,14.485,30979.1,39703.39,40234.66,0.73
2017-03-14,14.83,14.83,14.8,14.7,28515.98,0.0,0.0,14.642,14.634,14.478,30345.32,40383.0,40167.53,0.68
2017-03-13,14.59,14.82,14.8,14.46,49767.77,0.25,1.72,14.63,14.575,14.469,32939.49,40220.4,40601.92,1.18
2017-03-10,14.51,14.6,14.55,14.45,19132.7,0.03,0.21,14.604,14.525,14.465,33676.56,38827.49,40324.91,0.46
2017-03-09,14.54,14.68,14.52,14.41,26882.02,-0.02,-0.14,14.642,14.51,14.463,40155.66,41861.64,41297.17,0.64
2017-03-08,14.74,14.74,14.54,14.46,27428.12,-0.2,-1.36,14.668,14.459,14.469,48427.68,44265.17,42921.41,0.65
2017-03-07,14.67,14.81,14.74,14.6,41486.82,0.07,0.48,14.626,14.422,14.479,50420.68,49792.2,43335.29,0.99
2017-03-06,14.82,14.84,14.67,14.6,53453.16,-0.07,-0.47,14.52,14.382,14.481,47501.31,48291.4,44092.72,1.27
2017-03-03,14.64,14.85,14.74,14.54,51528.17,0.09,0.61,14.446,14.354,14.476,43978.41,45845.58,43191.74,1.23
2017-03-02,14.28,14.68,14.65,14.23,68242.14,0.32,2.23,14.378,14.31,14.462,43567.62,45537.5,42083.55,1.62
2017-03-01,14.21,14.4,14.33,14.17,37393.09,0.12,0.84,14.25,14.3,14.467,40102.65,40765.93,38671.59,0.89
2017-02-28,14.25,14.35,14.21,14.12,26890.0,-0.09,-0.63,14.218,14.322,14.488,49163.73,39952.07,38512.42,0.64
2017-02-27,14.4,14.54,14.3,14.26,35838.67,-0.1,-0.69,14.244,14.363,14.505,49081.48,40983.44,40430.54,0.85
2017-02-24,14.03,14.4,14.4,13.93,49474.19,0.39,2.78,14.262,14.405,14.522,47712.74,41822.32,43046.95,1.18
2017-02-23,14.1,14.17,14.01,13.94,50917.31,-0.16,-1.13,14.242,14.416,14.563,47507.38,40732.71,47243.42,1.21
2017-02-22,14.29,14.34,14.17,13.98,82698.48,-0.17,-1.19,14.35,14.479,14.627,41429.21,41577.66,55001.78,1.97
2017-02-21,14.39,14.46,14.34,14.27,26478.76,-0.05,-0.35,14.426,14.536,14.638,30740.4,36878.38,53852.16,0.63
2017-02-20,14.3,14.43,14.39,14.26,28994.96,0.09,0.63,14.482,14.58,14.646,32885.39,39894.04,55347.29,0.69
2017-02-17,14.52,14.68,14.3,14.3,48447.39,-0.25,-1.72,14.548,14.597,14.628,35931.91,40537.89,56722.38,1.15
2017-02-16,14.61,14.64,14.55,14.49,20526.45,0.0,0.0,14.59,14.613,14.599,33958.04,38629.6,58962.39,0.49
2017-02-15,14.55,14.71,14.55,14.5,29254.44,-0.07,-0.48,14.608,14.633,14.596,41726.12,36577.26,63026.25,0.7
2017-02-14,14.69,14.77,14.62,14.52,37203.71,-0.1,-0.68,14.646,14.653,14.613,43016.35,37072.78,71015.62,0.89
2017-02-13,14.57,14.73,14.72,14.46,44227.55,0.21,1.45,14.678,14.646,14.604,46902.7,39877.64,77312.12,1.05
2017-02-10,14.63,14.64,14.51,14.46,38578.05,-0.13,-0.89,14.646,14.639,14.597,45143.88,44271.59,80886.12,0.92
2017-02-09,14.7,14.82,14.64,14.5,59366.83,-0.1,-0.68,14.636,14.71,14.61,43301.16,53754.13,83878.56,1.41
2017-02-08,14.77,14.82,14.74,14.52,35705.62,-0.04,-0.27,14.658,14.775,14.602,31428.4,68425.89,88755.62,0.85
2017-02-07,14.57,14.85,14.78,14.53,56635.43,0.22,1.51,14.66,14.74,14.578,31129.21,70825.94,92534.65,1.35
2017-02-06,14.57,14.67,14.56,14.5,35433.48,0.1,0.69,14.614,14.711,14.536,32852.58,70800.54,93102.89,0.84
2017-02-03,14.75,14.84,14.46,14.4,29364.46,-0.29,-1.97,14.632,14.658,14.492,43399.29,72906.86,94397.67,0.7
2017-02-02,14.75,14.75,14.75,14.75,3.0,0.0,0.0,14.784,14.584,14.451,64207.09,79295.18,94716.64,0.0
2017-01-26,14.57,14.75,14.75,14.48,34209.7,0.2,1.38,14.892,14.559,14.393,105423.39,89475.24,97321.29,0.81
2017-01-25,14.69,14.85,14.55,14.43,65252.24,-0.1,-0.68,14.82,14.572,14.343,110522.67,104958.45,100711.78,1.55
2017-01-24,15.22,15.4,14.65,14.58,88167.04,-0.57,-3.75,14.808,14.562,14.297,108748.5,114746.61,100141.46,2.1
2017-01-23,15.3,15.45,15.22,15.08,133403.45,-0.07,-0.46,14.684,14.554,14.242,102414.42,117500.65,98691.04,3.18
2017-01-20,14.4,15.68,15.29,14.39,206084.5,0.9,6.25,14.384,14.509,14.16,94383.28,114002.99,95996.17,4.91
2017-01-19,14.5,14.5,14.39,14.2,59706.12,-0.1,-0.69,14.226,14.428,14.065,73527.08,109085.34,90779.83,1.42
2017-01-18,14.15,14.55,14.49,14.0,56381.37,0.46,3.28,14.324,14.416,13.999,99394.24,114243.35,91753.87,1.34
2017-01-17,13.65,14.15,14.03,13.63,56496.67,0.31,2.26,14.316,14.36,13.902,120744.72,115405.25,91556.36,1.35
2017-01-16,14.31,14.5,13.72,13.05,93247.72,-0.78,-5.38,14.424,14.326,13.849,132586.88,115888.48,91099.07,2.22
2017-01-13,14.62,14.72,14.5,14.32,101803.54,-0.38,-2.55,14.634,14.317,13.82,133622.7,110138.1,87722.75,2.42
2017-01-12,15.0,15.33,14.88,14.65,189041.88,0.43,2.98,14.63,14.227,13.749,144643.6,105167.35,83991.84,4.5
2017-01-11,14.61,14.76,14.45,14.4,163133.81,-0.12,-0.82,14.508,14.114,13.657,129092.46,96465.11,76125.54,3.88
2017-01-10,14.67,14.84,14.57,14.36,115707.43,-0.2,-1.35,14.404,14.031,13.592,110065.77,85536.3,69333.66,2.76
2017-01-09,14.5,14.87,14.77,14.35,98426.84,0.29,2.0,14.228,13.929,13.517,99190.08,79881.44,67382.22,2.34
2017-01-06,14.28,14.59,14.48,14.0,156908.05,0.21,1.47,14.0,13.81,13.451,86653.51,77989.35,64134.3,3.74
2017-01-05,13.93,14.32,14.27,13.88,111286.19,0.34,2.44,13.824,13.702,13.407,65691.1,72474.31,57844.1,2.65
2017-01-04,13.63,14.05,13.93,13.63,68000.35,0.24,1.75,13.72,13.581,13.374,63837.76,69264.38,54276.92,1.62
2017-01-03,13.52,13.83,13.69,13.52,61328.96,0.06,0.44,13.658,13.443,13.351,61006.83,67707.48,53512.04,1.46
2016-12-30,13.68,13.68,13.63,13.48,35744.0,0.03,0.22,13.63,13.372,13.346,60572.8,66309.66,54967.22,0.85
