date,open,high,close,low,volume,amount
2017-01-26,18.32,18.56,18.55,18.27,2406902.0,44183711.0
2017-01-25,18.05,18.45,18.35,18.05,1776464.0,32462901.0
2017-01-24,18.56,18.7,18.26,18.23,2217377.0,40703288.0
2017-01-23,18.55,18.7,18.63,18.36,1877091.0,34896717.0
2017-01-20,17.92,18.99,18.54,17.92,3053278.0,56526847.0
2017-01-19,18.2,18.27,18.04,17.85,2037000.0,36799562.0
2017-01-18,18.18,18.48,18.2,17.78,3640430.0,66212117.0
2017-01-17,17.6,18.29,18.16,17.45,3148171.0,56337896.0
2017-01-16,18.57,18.6,17.65,16.88,4522873.0,80553585.0
2017-01-13,19.14,19.49,18.68,18.0,3510650.0,66320145.0
2017-01-12,19.23,19.31,19.13,19.01,2339100.0,44932031.0
2017-01-11,19.75,19.77,19.28,19.28,2398657.0,46796111.0
2017-01-10,19.75,19.93,19.73,19.65,1706211.0,33795409.0
2017-01-09,19.99,19.99,19.7,19.62,2001064.0,39541210.0
2017-01-06,20.2,20.28,19.85,19.66,2934662.0,58525708.0
2017-01-05,20.03,20.56,20.2,20.03,4914524.0,99792146.0
2017-01-04,19.76,20.25,20.23,19.59,4322279.0,86376838.0
2017-01-03,19.37,19.8,19.79,19.27,2918517.0,57141244.0
2016-12-30,19.26,19.48,19.37,19.11,2113469.0,40926875.0
2016-12-29,19.27,19.52,19.27,19.22,2464441.0,47818255.0
2016-12-28,19.31,19.43,19.32,19.2,1590009.0,30734682.0
2016-12-27,19.4,19.5,19.25,19.15,2389088.0,46192673.0
2016-12-26,19.15,19.45,19.41,18.84,2846930.0,54505773.0
2016-12-23,19.36,19.58,19.15,19.12,2522114.0,48598867.0
2016-12-22,19.39,20.01,19.5,19.29,4627913.0,91029833.0
2016-12-21,19.49,19.5,19.35,19.31,2652444.0,51416600.0
2016-12-20,19.29,19.5,19.32,19.23,1949358.0,37681677.0
2016-12-19,19.5,19.58,19.3,19.22,2634845.0,51001200.0
2016-12-16,19.16,19.62,19.4,19.05,4105697.0,79585784.0
2016-12-15,18.97,19.28,19.14,18.88,3229026.0,61641143.0
2016-12-14,18.97,18.99,18.88,18.6,2818462.0,53106272.0
2016-12-13,19.06,19.18,18.93,18.76,4725545.0,89765506.0
2016-12-12,21.28,21.28,19.11,19.11,7757508.0,154538122.0
2016-12-09,21.51,21.63,21.23,21.16,3998399.0,85415696.0
2016-12-08,21.8,21.83,21.46,21.38,3471196.0,74877800.0
2016-12-07,21.6,21.77,21.77,21.45,1724690.0,37329621.0
2016-12-06,21.7,21.79,21.53,21.51,1811136.0,39122810.0
2016-12-05,21.35,21.84,21.69,21.35,1792705.0,38721058.0
2016-12-02,22.25,22.35,21.7,21.55,4726093.0,103898407.0
2016-12-01,22.3,22.48,22.15,22.1,4339760.0,96474106.0
2016-11-30,22.27,22.74,22.35,22.25,3516212.0,78983603.0
2016-11-29,22.79,22.82,22.42,22.4,3513694.0,79374392.0
2016-11-28,23.06,23.06,22.7,22.7,4115405.0,93922293.0
2016-11-25,22.42,22.93,22.92,22.04,7155589.0,161391057.0
2016-11-24,22.63,22.69,22.37,22.12,5167461.0,115810783.0
2016-11-23,22.85,22.95,22.69,22.53,5521410.0,125266810.0
2016-11-22,22.7,22.88,22.82,22.56,4386686.0,99589732.0
2016-11-21,22.74,22.89,22.64,22.62,2942554.0,66788623.0
2016-11-18,22.75,22.84,22.68,22.65,2716245.0,61705372.0
