date,open,high,close,low,volume,amount
2017-02-07,17.39,18.09,17.71,17.35,9949606.0,176201499.0
2017-02-06,17.09,17.5,17.49,16.93,7531021.0,130025053.0
2017-02-03,16.94,17.1,17.02,16.8,3416800.0,57904464.0
2017-01-26,17.17,17.21,16.94,16.9,6112474.0,104104787.0
2017-01-25,17.19,17.36,17.26,17.0,4672047.0,80186296.0
2017-01-24,17.4,17.52,17.15,16.95,5342448.0,91413328.0
2017-01-23,17.23,17.68,17.36,17.23,5936249.0,103646013.0
2017-01-20,16.93,17.51,17.36,16.81,6974254.0,120341533.0
2017-01-19,16.93,17.36,17.01,16.82,6510330.0,111221601.0
2017-01-18,17.18,17.4,17.12,16.89,8218648.0,140950342.0
2017-01-17,16.8,17.3,17.24,16.63,8172239.0,138830019.0
2017-01-16,18.12,18.4,16.91,16.34,10914742.0,190683212.0
2017-01-13,19.24,19.34,18.09,18.0,12516137.0,232447500.0
2017-01-12,18.97,19.43,19.15,18.72,12293469.0,234651098.0
2017-01-11,20.21,20.21,19.12,18.93,19418144.0,375656671.0
2017-01-10,20.25,20.64,20.37,19.9,14844420.0,301270858.0
2017-01-09,20.46,20.55,20.3,19.94,14509559.0,293829023.0
2017-01-06,20.22,20.82,20.72,19.9,17956658.0,365630276.0
2017-01-05,20.5,20.85,20.65,20.28,19331656.0,397299961.0
2017-01-04,20.8,20.98,20.68,20.3,24930198.0,514129670.0
2017-01-03,20.28,21.79,21.26,19.8,34332500.0,717560157.0
2016-12-30,21.11,22.23,20.45,19.84,42665086.0,889500905.0
2016-12-29,18.45,20.52,20.52,18.27,27262049.0,528048338.0
2016-12-28,18.5,19.8,18.65,18.31,27819798.0,523901575.0
2016-12-27,16.43,18.06,18.06,16.32,7672429.0,132744733.0
2016-12-26,16.71,16.73,16.42,15.9,6891105.0,112733902.0
2016-12-23,17.03,17.2,16.89,16.81,5996305.0,102268049.0
2016-12-22,17.18,17.23,17.02,16.89,4638169.0,79095184.0
2016-12-21,16.88,17.39,17.3,16.8,8065903.0,138728928.0
2016-12-20,16.84,16.94,16.88,16.55,4277458.0,71569450.0
2016-12-19,16.75,17.32,16.96,16.71,5672158.0,96402671.0
