date,open,high,close,low,volume,amount
2017-01-26,30.57,31.08,30.91,30.47,1172946.0,36234687.0
2017-01-25,30.11,30.55,30.47,29.89,1154324.0,35032284.0
2017-01-24,30.5,30.5,29.96,29.6,1078018.0,32383835.0
2017-01-23,30.1,30.55,30.38,30.01,1318051.0,39989820.0
2017-01-20,29.5,30.38,30.01,29.35,1366100.0,41073440.0
2017-01-19,29.4,29.94,29.65,28.5,1707335.0,50091790.0
2017-01-18,30.67,30.7,29.54,29.51,1438600.0,43080627.0
2017-01-17,29.65,30.98,30.7,29.12,1921096.0,58012724.0
2017-01-16,33.0,33.32,30.02,29.84,3099214.0,96536802.0
2017-01-13,33.15,33.78,33.15,32.5,2141009.0,71129907.0
2017-01-12,34.22,34.4,33.09,33.01,1928816.0,65014825.0
2017-01-11,34.9,35.1,34.15,34.11,1907500.0,65989397.0
2017-01-10,34.64,35.1,34.93,34.0,2098360.0,72752540.0
2017-01-09,35.64,35.67,34.7,34.24,2829100.0,98257519.0
2017-01-06,36.12,36.84,35.7,35.6,2447247.0,88841498.0
2017-01-05,36.39,36.74,36.24,36.09,1890700.0,68832808.0
2017-01-04,35.95,36.45,36.25,35.5,1832647.0,66053187.0
2017-01-03,35.36,35.76,35.74,35.25,1393648.0,49604695.0
2016-12-30,36.13,36.48,35.44,35.43,1903314.0,68216792.0
2016-12-29,36.4,37.05,36.3,36.23,1408847.0,51686299.0
2016-12-28,36.84,37.47,36.68,36.5,1693146.0,62353952.0
2016-12-27,36.7,37.48,37.07,36.67,1746512.0,64764425.0
2016-12-26,36.08,36.9,36.73,34.99,2032002.0,72950673.0
2016-12-23,37.41,37.7,36.2,36.18,2411701.0,89252413.0
2016-12-22,37.75,37.86,37.41,37.2,2043790.0,76649595.0
2016-12-21,37.4,37.99,37.96,36.72,3075702.0,114752467.0
2016-12-20,36.42,37.2,37.19,36.12,1989214.0,73264234.0
2016-12-19,36.81,37.29,36.42,36.02,2122903.0,77638247.0
2016-12-16,36.8,37.3,37.14,36.5,2872407.0,106340769.0
2016-12-15,35.86,37.82,36.85,35.86,3577168.0,132088384.0
2016-12-14,36.19,37.18,36.2,35.61,2674600.0,96927189.0
2016-12-13,35.9,36.98,36.3,35.56,2630148.0,95221085.0
2016-12-12,39.52,39.83,35.91,35.82,4167703.0,156092983.0
2016-12-09,38.8,40.2,39.73,38.51,3707141.0,146045243.0
2016-12-08,40.92,40.95,38.92,38.81,3835540.0,152326349.0
2016-12-07,40.0,40.6,40.57,39.73,2979097.0,119769004.0
2016-12-06,39.17,40.79,40.27,38.81,4923553.0,195546088.0
2016-12-05,38.38,39.13,38.8,37.9,3292081.0,127455438.0
2016-12-02,41.2,41.48,38.55,38.35,5719155.0,226204048.0
2016-12-01,41.75,42.3,41.2,41.2,3462752.0,144372869.0
2016-11-30,41.21,42.35,41.75,40.91,3169010.0,132003565.0
2016-11-29,42.3,43.5,41.91,41.82,4042978.0,172226764.0
2016-11-28,43.8,44.5,42.52,42.5,4435914.0,192207646.0
2016-11-25,44.15,44.52,44.0,42.53,6057044.0,264216632.0
2016-11-24,46.28,46.97,44.99,44.01,8100147.0,368837802.0
2016-11-23,47.03,47.26,46.05,45.15,9458496.0,437607416.0
2016-11-22,48.24,48.4,47.95,46.5,14547834.0,689044005.0
2016-11-21,45.0,47.78,47.78,44.5,13506047.0,630196137.0
2016-11-18,40.67,43.44,43.44,40.67,8186165.0,350014783.0
2016-11-17,40.75,40.99,39.49,39.0,5854188.0,233083408.0
2016-11-16,42.41,43.2,40.79,40.51,5120887.0,214557244.0
2016-11-15,42.3,43.5,42.47,41.81,5422796.0,230960304.0
2016-11-14,41.11,44.98,42.33,41.11,6876983.0,295692352.0
2016-11-11,40.4,42.0,41.2,40.26,5796524.0,239409086.0
2016-11-10,40.75,41.24,40.75,40.55,5644832.0,230648175.0
2016-11-09,41.0,41.05,40.4,39.51,7253132.0,292517949.0
2016-11-08,41.3,42.5,41.49,40.8,6417071.0,266801774.0
2016-11-07,41.8,42.17,41.37,40.69,6499037.0,269068704.0
2016-11-04,39.83,43.32,42.28,39.65,9199047.0,381379323.0
2016-11-03,38.56,41.68,39.93,38.56,8723888.0,349959917.0
2016-11-02,38.5,40.88,38.8,38.31,12627101.0,498486462.0
2016-11-01,34.3,37.8,37.8,34.3,8901508.0,322872319.0
2016-10-31,33.44,34.49,34.36,33.1,3795711.0,129078233.0
2016-10-28,33.4,33.7,33.34,33.28,2099839.0,70211817.0
2016-10-27,33.83,33.83,33.37,33.2,1867396.0,62415059.0
2016-10-26,34.18,34.18,33.82,33.5,2026856.0,68366196.0
2016-10-25,34.14,34.4,34.13,33.93,2192001.0,74797530.0
2016-10-24,34.06,34.24,34.0,33.7,2022038.0,68656269.0
2016-10-21,34.35,34.5,34.1,33.61,2796876.0,95364620.0
2016-10-20,33.46,34.44,34.37,33.2,4196410.0,142565615.0
2016-10-19,33.95,34.1,33.4,33.31,2953797.0,99128109.0
2016-10-18,33.51,34.18,33.97,33.35,3671641.0,123680189.0
2016-10-17,33.38,34.44,33.75,33.3,4581646.0,155621991.0
2016-10-14,33.0,33.47,33.4,32.68,2882923.0,95258173.0
2016-10-13,32.99,33.92,33.0,32.88,3829955.0,127961603.0
2016-10-12,32.5,33.02,32.88,32.25,2788714.0,91145792.0
2016-10-11,32.59,33.17,32.66,32.45,3440462.0,112645520.0
2016-10-10,33.4,33.4,32.55,31.1,4486300.0,144440135.0
2016-09-21,34.21,35.12,34.3,33.8,5017046.0,173548984.0
2016-09-20,33.32,34.6,34.12,33.28,4018015.0,136330311.0
2016-09-19,32.76,33.68,33.52,32.54,2904490.0,96211845.0
2016-09-14,32.7,32.89,32.76,32.53,2615023.0,85548790.0
2016-09-13,32.8,33.09,32.96,32.31,2980096.0,97584605.0
2016-09-12,31.91,32.99,32.78,31.83,5077032.0,165634075.0
