date,open,high,close,low,volume,amount
2017-02-07,21.42,21.55,21.28,21.17,1579725.0,33720128.0
2017-02-06,21.35,21.5,21.46,21.13,1447312.0,30879079.0
2017-02-03,21.28,21.37,21.15,21.11,1306010.0,27722354.0
2017-01-26,21.15,21.38,21.19,21.14,968900.0,20581033.0
2017-01-25,21.01,21.28,21.14,20.9,1197189.0,25330457.0
2017-01-24,21.11,21.14,21.01,20.91,1232370.0,25869590.0
2017-01-23,20.95,21.23,20.97,20.9,1965740.0,41394775.0
2017-01-20,20.58,21.08,20.95,20.48,1688057.0,35251058.0
2017-01-19,20.5,20.7,20.58,20.31,1489171.0,30591076.0
2017-01-18,20.8,20.85,20.66,20.52,1213326.0,25141196.0
2017-01-17,20.4,20.97,20.9,20.23,2205695.0,45451622.0
2017-01-16,21.37,21.38,20.64,19.93,4823034.0,100820828.0
2017-01-13,22.46,22.5,21.49,21.42,3608424.0,79181739.0
2017-01-12,22.62,22.75,22.43,22.43,1362001.0,30797861.0
2017-01-11,22.98,23.1,22.61,22.57,2004431.0,45804919.0
2017-01-10,22.98,23.17,23.08,22.91,1653793.0,38167268.0
2017-01-09,22.8,23.12,22.99,22.71,2234402.0,51204120.0
2017-01-06,23.15,23.15,22.86,22.72,2715013.0,62142774.0
2017-01-05,23.21,23.37,23.13,23.06,2057903.0,47722491.0
2017-01-04,22.89,23.3,23.2,22.82,2617626.0,60648568.0
2017-01-03,22.56,22.97,22.94,22.5,2857630.0,65161073.0
2016-12-30,22.79,22.85,22.62,22.59,1556514.0,35316858.0
2016-12-29,22.6,22.86,22.77,22.52,1645402.0,37437962.0
2016-12-28,22.57,22.99,22.67,22.57,2361791.0,53878925.0
2016-12-27,22.44,22.7,22.56,22.35,2075779.0,46840774.0
2016-12-26,21.8,22.52,22.5,21.65,3134901.0,68999760.0
2016-12-23,22.56,22.7,22.2,22.15,2206976.0,49434880.0
2016-12-22,22.94,22.95,22.69,22.62,1836415.0,41787121.0
2016-12-21,22.76,23.06,22.93,22.76,2639657.0,60480595.0
2016-12-20,22.57,22.76,22.75,22.5,1538431.0,34839661.0
2016-12-19,22.73,22.73,22.66,22.49,1925718.0,43487828.0
2016-12-16,22.56,22.81,22.73,22.5,1856346.0,42094090.0
2016-12-15,22.21,22.84,22.53,22.21,2572305.0,58107230.0
2016-12-14,22.39,22.66,22.38,22.09,2298036.0,51388899.0
2016-12-13,22.0,22.61,22.36,21.83,3189304.0,70777531.0
2016-12-12,23.63,23.77,22.14,22.03,4984604.0,112994857.0
2016-12-09,23.48,23.96,23.7,23.48,2815077.0,66648530.0
2016-12-08,23.93,23.99,23.49,23.46,2546795.0,60367896.0
2016-12-07,23.61,24.1,23.9,23.5,3897043.0,92895879.0
2016-12-06,23.42,23.68,23.48,23.35,2399573.0,56393176.0
2016-12-05,23.0,23.52,23.4,22.88,3206166.0,74644370.0
